no,class,name,address,menu,picture,insta
213,카페,레몬일레븐,제주특별자치도 서귀포시 표선면 토산중앙로49번길 41,None,cafe_52,lemoneleven_jeju
214,카페,표선하다,제주특별자치도 서귀포시 표선당포로 21-3,None,cafe_53,cafe_pyoseon_hada
215,카페,표선 7부두,제주특별자치도 서귀포시 표선면 표선당포로 17,None,cafe_54,no.7wharf
216,카페,고즈넉이,제주특별자치도 서귀포시 남원읍 태수로358번길 3-1,None,cafe_55,gozneoki
217,카페,미스 커피,제주특별자치도 서귀포시 남원읍 태흥리 360-3,None,cafe_56,None
218,카페,그리울땐 제주,제주특별자치도 서귀포시 남원읍 태신해안로 271,None,cafe_57,miss.jeju
219,카페,원앤온리,제주특별자치도 서귀포시 안덕면 산방로 141,None,cafe_58,jejuoneandonly
220,카페,오라디오라,제주특별자치도 서귀포시 안덕면 사계로114번길 54 102 2층,None,cafe_59,None
221,카페,소색채본,제주특별자치도 서귀포시 사계남로216번길 24-61 소색채본,None,cafe_60,sschebon
222,카페,아이엔엠엠엠,제주특별자치도 서귀포시 사계북로 192 1층 105호,None,cafe_61,inmm.official
223,카페,포비 제주점,제주특별자치도 서귀포시 안덕면 사계리 3058,None,cafe_62,fourb.hours
224,카페,미엘,제주특별자치도 서귀포시 대정읍 일과대수로27번길 3,None,cafe_63,jejumiel_cafe
225,카페,인스밀,제주특별자치도 서귀포시 대정읍 일과대수로27번길 22,None,cafe_64,ins_mill
226,카페,벨진밧,제주특별자치도 서귀포시 대정읍 보성구억로 220-1,None,cafe_65,beljinvat
227,카페,핀스,제주특별자치도 서귀포시 대정읍 무릉리 4065-1,None,cafe_66,fins_cafe
228,포토스팟,고살리 숲길,제주 서귀포시 남원읍 하례리 산54-2,None,pho_1,None
229,포토스팟,다랑쉬오름,제주 제주시 구좌읍 세화리 산6,None,pho_2,None
230,포토스팟,도두봉(제주공항포인트),제주 제주시 도두항길 4-17,None,pho_3,None
231,포토스팟,동백포레스트,제주특별자치도 서귀포시 남원읍 생기악로 53-38,None,pho_4,None
232,포토스팟,만장굴,제주특별자치도 제주시 구좌읍 월정리,None,pho_5,None
233,포토스팟,비행기착륙위치,제주시 이호일동 216-4,None,pho_6,None
234,포토스팟,삼다수목장,제주특별자치도 제주시 비자림로 485-15,None,pho_7,None
235,포토스팟,새연교,제주특별자치도 서귀포시 서홍동,None,pho_8,None
236,포토스팟,선족이오름,제주특별자치도 제주시 구좌읍 송당리 산140-2,None,pho_9,None
237,포토스팟,성산 일출봉,제주 서귀포시 성산읍 성산리 1,None,pho_10,None
238,포토스팟,송악산전망대,제주특별자치도 서귀포시 대정읍 송악관광로 421-1,None,pho_11,None
239,포토스팟,수산저수지,제주 제주시 애월읍 수산리,None,pho_12,None
240,포토스팟,쇠소깍,제주 서귀포시 쇠소깍로 104,None,pho_13,None
241,포토스팟,애향운동장 (벚꽃),제주 제주시 서광로2길 24,None,pho_14,None
242,포토스팟,외돌개,제주 서귀포시 서홍동 791,None,pho_15,None
243,포토스팟,용머리해안,제주 서귀포시 안덕면 사계리 112-3,None,pho_16,None
244,포토스팟,용눈이오름,제주 제주시 구좌읍 종달리 산28,None,pho_17,None
245,포토스팟,정방폭포,제주 서귀포시 칠십리로214번길 37,None,pho_18,None
246,포토스팟,조수장로교회,제주특별자치도 제주시 한경면 조수3길 7,None,pho_19,None
247,포토스팟,제주대학교 (은행나무),제주특별자치도 제주시 제주대학로 102,None,pho_20,None
248,포토스팟,카페콜라,제주 제주시 한림읍 일주서로 5857,None,pho_21,None
249,포토스팟,한남 시험림 탐방로,제주 서귀포시 남원읍 서성로651번길 235,None,pho_22,None
250,포토스팟,한라산,제주 서귀포시 토평동 산15-1,None,pho_23,None
251,포토스팟,한림공원,제주 제주시 한림읍 한림로 300,None,pho_24,None
252,포토스팟,항파두리,제주 제주시 애월읍 항파두리로 50,None,pho_25,None
253,포토스팟,협재 해수욕장,제주 제주시 한림읍 협재리 2497-1,None,pho_26,None
254,포토스팟,함덕해수욕장,제주 제주시 조천읍 조함해안로 525,None,pho_27,None
